result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6870, byte miss ratio 0.6870
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    43471, 11233411 req, miss ratio 0.5851, byte miss ratio 0.5851
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   108678, 11233411 req, miss ratio 0.4915, byte miss ratio 0.4915
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.4005, byte miss ratio 0.4005
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.2419, byte miss ratio 0.2419
result/msr_prn_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.2090, byte miss ratio 0.2090
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2173, 11233411 req, miss ratio 0.8240, byte miss ratio 0.8240
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    10867, 11233411 req, miss ratio 0.7454, byte miss ratio 0.7454
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    21735, 11233411 req, miss ratio 0.7114, byte miss ratio 0.7114
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    43471, 11233411 req, miss ratio 0.6497, byte miss ratio 0.6497
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   108678, 11233411 req, miss ratio 0.5330, byte miss ratio 0.5330
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   217357, 11233411 req, miss ratio 0.4376, byte miss ratio 0.4376
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   434715, 11233411 req, miss ratio 0.2792, byte miss ratio 0.2792
result/msr_prn_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
