result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    39362, 5700499 req, miss ratio 0.3118, byte miss ratio 0.3118
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    78724, 5700499 req, miss ratio 0.1879, byte miss ratio 0.1879
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      196, 5700499 req, miss ratio 0.8539, byte miss ratio 0.8539
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      984, 5700499 req, miss ratio 0.8216, byte miss ratio 0.8216
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1968, 5700499 req, miss ratio 0.8138, byte miss ratio 0.8138
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3936, 5700499 req, miss ratio 0.8039, byte miss ratio 0.8039
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9840, 5700499 req, miss ratio 0.7554, byte miss ratio 0.7554
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    19681, 5700499 req, miss ratio 0.6977, byte miss ratio 0.6977
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    39362, 5700499 req, miss ratio 0.3836, byte miss ratio 0.3836
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    78724, 5700499 req, miss ratio 0.2705, byte miss ratio 0.2705
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      196, 5700499 req, miss ratio 0.8402, byte miss ratio 0.8402
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      984, 5700499 req, miss ratio 0.8172, byte miss ratio 0.8172
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     1968, 5700499 req, miss ratio 0.8115, byte miss ratio 0.8115
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     3936, 5700499 req, miss ratio 0.8013, byte miss ratio 0.8013
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     9840, 5700499 req, miss ratio 0.7389, byte miss ratio 0.7389
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    19681, 5700499 req, miss ratio 0.6431, byte miss ratio 0.6431
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    39362, 5700499 req, miss ratio 0.3337, byte miss ratio 0.3337
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    78724, 5700499 req, miss ratio 0.2460, byte miss ratio 0.2460
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      196, 5700499 req, miss ratio 0.8539, byte miss ratio 0.8539
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      984, 5700499 req, miss ratio 0.8216, byte miss ratio 0.8216
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     1968, 5700499 req, miss ratio 0.8138, byte miss ratio 0.8138
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3936, 5700499 req, miss ratio 0.8039, byte miss ratio 0.8039
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9840, 5700499 req, miss ratio 0.7554, byte miss ratio 0.7554
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    19681, 5700499 req, miss ratio 0.6977, byte miss ratio 0.6977
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    39362, 5700499 req, miss ratio 0.3836, byte miss ratio 0.3836
result/fiu_online.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    78724, 5700499 req, miss ratio 0.2705, byte miss ratio 0.2705
