result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      838, 4155308 req, miss ratio 0.3520, byte miss ratio 0.3520
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2793, 4155308 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8380, 4155308 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    27936, 4155308 req, miss ratio 0.2812, byte miss ratio 0.2812
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    55872, 4155308 req, miss ratio 0.2243, byte miss ratio 0.2243
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   111745, 4155308 req, miss ratio 0.1388, byte miss ratio 0.1388
result/tencentBlock.ns4586.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   223490, 4155308 req, miss ratio 0.1198, byte miss ratio 0.1198
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size      279, 4155308 req, miss ratio 0.7242, byte miss ratio 0.7242
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     1396, 4155308 req, miss ratio 0.5934, byte miss ratio 0.5934
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     2793, 4155308 req, miss ratio 0.5754, byte miss ratio 0.5754
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size     5587, 4155308 req, miss ratio 0.5123, byte miss ratio 0.5123
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    13968, 4155308 req, miss ratio 0.4721, byte miss ratio 0.4721
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    27936, 4155308 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size    55872, 4155308 req, miss ratio 0.3208, byte miss ratio 0.3208
result/tencentBlock.ns4586.oracleGeneral.bin                              LFU cache size   111745, 4155308 req, miss ratio 0.1994, byte miss ratio 0.1994
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      279, 4155308 req, miss ratio 0.6284, byte miss ratio 0.6284
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1396, 4155308 req, miss ratio 0.4820, byte miss ratio 0.4820
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2793, 4155308 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     5587, 4155308 req, miss ratio 0.4117, byte miss ratio 0.4117
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    13968, 4155308 req, miss ratio 0.3698, byte miss ratio 0.3698
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    27936, 4155308 req, miss ratio 0.3345, byte miss ratio 0.3345
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    55872, 4155308 req, miss ratio 0.2743, byte miss ratio 0.2743
result/tencentBlock.ns4586.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   111745, 4155308 req, miss ratio 0.1614, byte miss ratio 0.1614
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      279, 4155308 req, miss ratio 0.4485, byte miss ratio 0.4485
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1396, 4155308 req, miss ratio 0.3597, byte miss ratio 0.3597
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2793, 4155308 req, miss ratio 0.3460, byte miss ratio 0.3460
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     5587, 4155308 req, miss ratio 0.3373, byte miss ratio 0.3373
result/tencentBlock.ns4586.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    13968, 4155308 req, miss ratio 0.3236, byte miss ratio 0.3236
