result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   860132, 30340926 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns2362.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1720265, 30340926 req, miss ratio 0.0728, byte miss ratio 0.0728
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2150, 30340926 req, miss ratio 0.6386, byte miss ratio 0.6386
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     6450, 30340926 req, miss ratio 0.5738, byte miss ratio 0.5738
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    21503, 30340926 req, miss ratio 0.4759, byte miss ratio 0.4759
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    64509, 30340926 req, miss ratio 0.3614, byte miss ratio 0.3614
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   215033, 30340926 req, miss ratio 0.2452, byte miss ratio 0.2452
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   430066, 30340926 req, miss ratio 0.2012, byte miss ratio 0.2012
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   860132, 30340926 req, miss ratio 0.2152, byte miss ratio 0.2152
result/tencentBlock.ns2362.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1720265, 30340926 req, miss ratio 0.2001, byte miss ratio 0.2001
