result/tencentBlock.ns1885.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2622, 2522262 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns1885.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8741, 2522262 req, miss ratio 0.1730, byte miss ratio 0.1730
result/tencentBlock.ns1885.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    17482, 2522262 req, miss ratio 0.1526, byte miss ratio 0.1526
result/tencentBlock.ns1885.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    34964, 2522262 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tencentBlock.ns1885.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    69928, 2522262 req, miss ratio 0.0595, byte miss ratio 0.0595
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size       87, 2522262 req, miss ratio 0.5975, byte miss ratio 0.5975
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size      437, 2522262 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size      874, 2522262 req, miss ratio 0.4710, byte miss ratio 0.4710
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     1748, 2522262 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     4370, 2522262 req, miss ratio 0.3172, byte miss ratio 0.3172
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size     8741, 2522262 req, miss ratio 0.2279, byte miss ratio 0.2279
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size    17482, 2522262 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns1885.oracleGeneral.bin                              LFU cache size    34964, 2522262 req, miss ratio 0.1416, byte miss ratio 0.1416
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size       87, 2522262 req, miss ratio 0.5208, byte miss ratio 0.5208
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      437, 2522262 req, miss ratio 0.4157, byte miss ratio 0.4157
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      874, 2522262 req, miss ratio 0.3819, byte miss ratio 0.3819
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1748, 2522262 req, miss ratio 0.3355, byte miss ratio 0.3355
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4370, 2522262 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8741, 2522262 req, miss ratio 0.2021, byte miss ratio 0.2021
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    17482, 2522262 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns1885.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    34964, 2522262 req, miss ratio 0.1222, byte miss ratio 0.1222
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size       87, 2522262 req, miss ratio 0.3752, byte miss ratio 0.3752
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      437, 2522262 req, miss ratio 0.3006, byte miss ratio 0.3006
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      874, 2522262 req, miss ratio 0.2885, byte miss ratio 0.2885
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1748, 2522262 req, miss ratio 0.2735, byte miss ratio 0.2735
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4370, 2522262 req, miss ratio 0.2298, byte miss ratio 0.2298
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8741, 2522262 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    17482, 2522262 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns1885.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    34964, 2522262 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns1885.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size       87, 2522262 req, miss ratio 0.3387, byte miss ratio 0.3387
