result/w101.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1403658, 3587707 req, miss ratio 0.4990, byte miss ratio 0.4990
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1754, 3587707 req, miss ratio 0.8605, byte miss ratio 0.8605
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     5263, 3587707 req, miss ratio 0.8220, byte miss ratio 0.8220
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    17545, 3587707 req, miss ratio 0.7504, byte miss ratio 0.7504
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    52637, 3587707 req, miss ratio 0.7095, byte miss ratio 0.7095
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   175457, 3587707 req, miss ratio 0.6401, byte miss ratio 0.6401
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   350914, 3587707 req, miss ratio 0.6068, byte miss ratio 0.6068
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   701829, 3587707 req, miss ratio 0.5530, byte miss ratio 0.5530
result/w101.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1403658, 3587707 req, miss ratio 0.4990, byte miss ratio 0.4990
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1754, 3587707 req, miss ratio 0.7806, byte miss ratio 0.7806
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     5263, 3587707 req, miss ratio 0.7279, byte miss ratio 0.7279
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    17545, 3587707 req, miss ratio 0.7171, byte miss ratio 0.7171
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    52637, 3587707 req, miss ratio 0.6968, byte miss ratio 0.6968
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   175457, 3587707 req, miss ratio 0.6684, byte miss ratio 0.6684
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   350914, 3587707 req, miss ratio 0.6450, byte miss ratio 0.6450
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   701829, 3587707 req, miss ratio 0.5743, byte miss ratio 0.5743
result/w101.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1403658, 3587707 req, miss ratio 0.5410, byte miss ratio 0.5410
