result/io_traces.ns95.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      333, 1400000 req, miss ratio 0.7120, byte miss ratio 0.7120
result/io_traces.ns95.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    10010, 1400000 req, miss ratio 0.5297, byte miss ratio 0.5297
result/io_traces.ns95.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    33366, 1400000 req, miss ratio 0.4337, byte miss ratio 0.4337
result/io_traces.ns95.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    66733, 1400000 req, miss ratio 0.3660, byte miss ratio 0.3660
result/io_traces.ns95.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   133467, 1400000 req, miss ratio 0.3126, byte miss ratio 0.3126
result/io_traces.ns95.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   266934, 1400000 req, miss ratio 0.2767, byte miss ratio 0.2767
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size      333, 1400000 req, miss ratio 0.8407, byte miss ratio 0.8407
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     1668, 1400000 req, miss ratio 0.7581, byte miss ratio 0.7581
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     3336, 1400000 req, miss ratio 0.7082, byte miss ratio 0.7082
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     6673, 1400000 req, miss ratio 0.6584, byte miss ratio 0.6584
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    16683, 1400000 req, miss ratio 0.5735, byte miss ratio 0.5735
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    33366, 1400000 req, miss ratio 0.5198, byte miss ratio 0.5198
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    66733, 1400000 req, miss ratio 0.4136, byte miss ratio 0.4136
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size   133467, 1400000 req, miss ratio 0.2976, byte miss ratio 0.2976
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      333, 1400000 req, miss ratio 0.7937, byte miss ratio 0.7937
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1668, 1400000 req, miss ratio 0.7101, byte miss ratio 0.7101
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3336, 1400000 req, miss ratio 0.6654, byte miss ratio 0.6654
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6673, 1400000 req, miss ratio 0.5991, byte miss ratio 0.5991
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    16683, 1400000 req, miss ratio 0.5397, byte miss ratio 0.5397
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    33366, 1400000 req, miss ratio 0.4765, byte miss ratio 0.4765
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    66733, 1400000 req, miss ratio 0.3684, byte miss ratio 0.3684
result/io_traces.ns95.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   133467, 1400000 req, miss ratio 0.2872, byte miss ratio 0.2872
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      333, 1400000 req, miss ratio 0.7271, byte miss ratio 0.7271
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1668, 1400000 req, miss ratio 0.6676, byte miss ratio 0.6676
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     3336, 1400000 req, miss ratio 0.6235, byte miss ratio 0.6235
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6673, 1400000 req, miss ratio 0.5743, byte miss ratio 0.5743
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16683, 1400000 req, miss ratio 0.5068, byte miss ratio 0.5068
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    33366, 1400000 req, miss ratio 0.4445, byte miss ratio 0.4445
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    66733, 1400000 req, miss ratio 0.3690, byte miss ratio 0.3690
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   133467, 1400000 req, miss ratio 0.2943, byte miss ratio 0.2943
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      333, 1400000 req, miss ratio 0.7125, byte miss ratio 0.7125
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1668, 1400000 req, miss ratio 0.6514, byte miss ratio 0.6514
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     3336, 1400000 req, miss ratio 0.5977, byte miss ratio 0.5977
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     6673, 1400000 req, miss ratio 0.5496, byte miss ratio 0.5496
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    16683, 1400000 req, miss ratio 0.4842, byte miss ratio 0.4842
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    33366, 1400000 req, miss ratio 0.4275, byte miss ratio 0.4275
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    66733, 1400000 req, miss ratio 0.3488, byte miss ratio 0.3488
result/io_traces.ns95.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   133467, 1400000 req, miss ratio 0.2877, byte miss ratio 0.2877
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      333, 1400000 req, miss ratio 0.7271, byte miss ratio 0.7271
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1668, 1400000 req, miss ratio 0.6676, byte miss ratio 0.6676
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     3336, 1400000 req, miss ratio 0.6235, byte miss ratio 0.6235
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6673, 1400000 req, miss ratio 0.5743, byte miss ratio 0.5743
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    16683, 1400000 req, miss ratio 0.5068, byte miss ratio 0.5068
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    33366, 1400000 req, miss ratio 0.4445, byte miss ratio 0.4445
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    66733, 1400000 req, miss ratio 0.3690, byte miss ratio 0.3690
result/io_traces.ns95.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   133467, 1400000 req, miss ratio 0.2943, byte miss ratio 0.2943
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size      333, 1400000 req, miss ratio 0.8407, byte miss ratio 0.8407
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     1668, 1400000 req, miss ratio 0.7581, byte miss ratio 0.7581
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     3336, 1400000 req, miss ratio 0.7082, byte miss ratio 0.7082
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size     6673, 1400000 req, miss ratio 0.6584, byte miss ratio 0.6584
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    16683, 1400000 req, miss ratio 0.5735, byte miss ratio 0.5735
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    33366, 1400000 req, miss ratio 0.5198, byte miss ratio 0.5198
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size    66733, 1400000 req, miss ratio 0.4136, byte miss ratio 0.4136
result/io_traces.ns95.oracleGeneral.bin                              LFU cache size   133467, 1400000 req, miss ratio 0.2976, byte miss ratio 0.2976
