result/io_traces.ns393.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       73, 1400000 req, miss ratio 0.4724, byte miss ratio 0.4724
result/io_traces.ns393.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2206, 1400000 req, miss ratio 0.4242, byte miss ratio 0.4242
result/io_traces.ns393.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     7356, 1400000 req, miss ratio 0.3707, byte miss ratio 0.3707
result/io_traces.ns393.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    14712, 1400000 req, miss ratio 0.2124, byte miss ratio 0.2124
result/io_traces.ns393.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    29425, 1400000 req, miss ratio 0.0924, byte miss ratio 0.0924
result/io_traces.ns393.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    58850, 1400000 req, miss ratio 0.0583, byte miss ratio 0.0583
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size       73, 1400000 req, miss ratio 0.4724, byte miss ratio 0.4724
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      220, 1400000 req, miss ratio 0.4323, byte miss ratio 0.4323
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      735, 1400000 req, miss ratio 0.4211, byte miss ratio 0.4211
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2206, 1400000 req, miss ratio 0.4050, byte miss ratio 0.4050
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     7356, 1400000 req, miss ratio 0.3845, byte miss ratio 0.3845
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    14712, 1400000 req, miss ratio 0.2137, byte miss ratio 0.2137
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    29425, 1400000 req, miss ratio 0.1008, byte miss ratio 0.1008
result/io_traces.ns393.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    58850, 1400000 req, miss ratio 0.0665, byte miss ratio 0.0665
