result/w94.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      790, 4118188 req, miss ratio 0.9756, byte miss ratio 0.9756
result/w94.oracleGeneral.bin                             FIFO cache size    79016, 4118188 req, miss ratio 0.4941, byte miss ratio 0.4941
result/w94.oracleGeneral.bin                             FIFO cache size   158032, 4118188 req, miss ratio 0.3781, byte miss ratio 0.3781
result/w94.oracleGeneral.bin                             FIFO cache size   316065, 4118188 req, miss ratio 0.2710, byte miss ratio 0.2710
result/w94.oracleGeneral.bin                             FIFO cache size   632130, 4118188 req, miss ratio 0.2298, byte miss ratio 0.2298
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      790, 4118188 req, miss ratio 0.9730, byte miss ratio 0.9730
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     2370, 4118188 req, miss ratio 0.9579, byte miss ratio 0.9579
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     7901, 4118188 req, miss ratio 0.9426, byte miss ratio 0.9426
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    23704, 4118188 req, miss ratio 0.6074, byte miss ratio 0.6074
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    79016, 4118188 req, miss ratio 0.4279, byte miss ratio 0.4279
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   158032, 4118188 req, miss ratio 0.2867, byte miss ratio 0.2867
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   316065, 4118188 req, miss ratio 0.2332, byte miss ratio 0.2332
result/w94.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   632130, 4118188 req, miss ratio 0.2023, byte miss ratio 0.2023
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      790, 4118188 req, miss ratio 0.9752, byte miss ratio 0.9752
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2370, 4118188 req, miss ratio 0.9618, byte miss ratio 0.9618
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     7901, 4118188 req, miss ratio 0.9427, byte miss ratio 0.9427
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    23704, 4118188 req, miss ratio 0.6056, byte miss ratio 0.6056
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    79016, 4118188 req, miss ratio 0.4247, byte miss ratio 0.4247
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   158032, 4118188 req, miss ratio 0.2866, byte miss ratio 0.2866
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   316065, 4118188 req, miss ratio 0.2332, byte miss ratio 0.2332
result/w94.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   632130, 4118188 req, miss ratio 0.2023, byte miss ratio 0.2023
