result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size       91, 2172872 req, miss ratio 0.5430, byte miss ratio 0.5430
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size      455, 2172872 req, miss ratio 0.4853, byte miss ratio 0.4853
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size      910, 2172872 req, miss ratio 0.4701, byte miss ratio 0.4701
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     1820, 2172872 req, miss ratio 0.4516, byte miss ratio 0.4516
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     4552, 2172872 req, miss ratio 0.3919, byte miss ratio 0.3919
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     9104, 2172872 req, miss ratio 0.3261, byte miss ratio 0.3261
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size    18209, 2172872 req, miss ratio 0.2297, byte miss ratio 0.2297
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size    36419, 2172872 req, miss ratio 0.1624, byte miss ratio 0.1624
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size       91, 2172872 req, miss ratio 0.4539, byte miss ratio 0.4539
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      455, 2172872 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      910, 2172872 req, miss ratio 0.3465, byte miss ratio 0.3465
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1820, 2172872 req, miss ratio 0.3303, byte miss ratio 0.3303
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4552, 2172872 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9104, 2172872 req, miss ratio 0.2701, byte miss ratio 0.2701
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    18209, 2172872 req, miss ratio 0.2307, byte miss ratio 0.2307
result/tencentBlock.ns4484.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    36419, 2172872 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size       91, 2172872 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      455, 2172872 req, miss ratio 0.2291, byte miss ratio 0.2291
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      910, 2172872 req, miss ratio 0.2219, byte miss ratio 0.2219
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1820, 2172872 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4552, 2172872 req, miss ratio 0.2116, byte miss ratio 0.2116
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     9104, 2172872 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    18209, 2172872 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    36419, 2172872 req, miss ratio 0.1317, byte miss ratio 0.1317
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size       91, 2172872 req, miss ratio 0.2745, byte miss ratio 0.2745
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      455, 2172872 req, miss ratio 0.2213, byte miss ratio 0.2213
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      910, 2172872 req, miss ratio 0.2174, byte miss ratio 0.2174
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1820, 2172872 req, miss ratio 0.2144, byte miss ratio 0.2144
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4552, 2172872 req, miss ratio 0.2105, byte miss ratio 0.2105
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     9104, 2172872 req, miss ratio 0.2077, byte miss ratio 0.2077
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    18209, 2172872 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns4484.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    36419, 2172872 req, miss ratio 0.1237, byte miss ratio 0.1237
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size       91, 2172872 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      455, 2172872 req, miss ratio 0.2291, byte miss ratio 0.2291
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      910, 2172872 req, miss ratio 0.2219, byte miss ratio 0.2219
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1820, 2172872 req, miss ratio 0.2169, byte miss ratio 0.2169
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4552, 2172872 req, miss ratio 0.2116, byte miss ratio 0.2116
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     9104, 2172872 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    18209, 2172872 req, miss ratio 0.1882, byte miss ratio 0.1882
result/tencentBlock.ns4484.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    36419, 2172872 req, miss ratio 0.1317, byte miss ratio 0.1317
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size       91, 2172872 req, miss ratio 0.5430, byte miss ratio 0.5430
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size      455, 2172872 req, miss ratio 0.4853, byte miss ratio 0.4853
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size      910, 2172872 req, miss ratio 0.4701, byte miss ratio 0.4701
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     1820, 2172872 req, miss ratio 0.4516, byte miss ratio 0.4516
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     4552, 2172872 req, miss ratio 0.3919, byte miss ratio 0.3919
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size     9104, 2172872 req, miss ratio 0.3261, byte miss ratio 0.3261
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size    18209, 2172872 req, miss ratio 0.2297, byte miss ratio 0.2297
result/tencentBlock.ns4484.oracleGeneral.bin                              LFU cache size    36419, 2172872 req, miss ratio 0.1624, byte miss ratio 0.1624
