result/io_traces.ns395.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1239, 11800000 req, miss ratio 0.5131, byte miss ratio 0.5131
result/io_traces.ns395.oracleGeneral.bin                             FIFO cache size   495634, 11800000 req, miss ratio 0.1218, byte miss ratio 0.1218
result/io_traces.ns395.oracleGeneral.bin                             FIFO cache size   991268, 11800000 req, miss ratio 0.1088, byte miss ratio 0.1088
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size     1239, 11800000 req, miss ratio 0.5768, byte miss ratio 0.5768
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size     3717, 11800000 req, miss ratio 0.5353, byte miss ratio 0.5353
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size    12390, 11800000 req, miss ratio 0.2771, byte miss ratio 0.2771
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size    37172, 11800000 req, miss ratio 0.2251, byte miss ratio 0.2251
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size   123908, 11800000 req, miss ratio 0.1624, byte miss ratio 0.1624
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size   247817, 11800000 req, miss ratio 0.1315, byte miss ratio 0.1315
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size   495634, 11800000 req, miss ratio 0.1190, byte miss ratio 0.1190
result/io_traces.ns395.oracleGeneral.bin                              LRU cache size   991268, 11800000 req, miss ratio 0.1051, byte miss ratio 0.1051
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1239, 11800000 req, miss ratio 0.5238, byte miss ratio 0.5238
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3717, 11800000 req, miss ratio 0.4512, byte miss ratio 0.4512
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12390, 11800000 req, miss ratio 0.2850, byte miss ratio 0.2850
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    37172, 11800000 req, miss ratio 0.2315, byte miss ratio 0.2315
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   123908, 11800000 req, miss ratio 0.1624, byte miss ratio 0.1624
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   247817, 11800000 req, miss ratio 0.1338, byte miss ratio 0.1338
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   495634, 11800000 req, miss ratio 0.1153, byte miss ratio 0.1153
result/io_traces.ns395.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   991268, 11800000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1239, 11800000 req, miss ratio 0.5238, byte miss ratio 0.5238
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     3717, 11800000 req, miss ratio 0.4452, byte miss ratio 0.4452
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    12390, 11800000 req, miss ratio 0.2908, byte miss ratio 0.2908
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    37172, 11800000 req, miss ratio 0.2377, byte miss ratio 0.2377
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   123908, 11800000 req, miss ratio 0.1605, byte miss ratio 0.1605
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   247817, 11800000 req, miss ratio 0.1342, byte miss ratio 0.1342
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   495634, 11800000 req, miss ratio 0.1162, byte miss ratio 0.1162
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   991268, 11800000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1239, 11800000 req, miss ratio 0.5155, byte miss ratio 0.5155
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     3717, 11800000 req, miss ratio 0.4888, byte miss ratio 0.4888
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    12390, 11800000 req, miss ratio 0.3396, byte miss ratio 0.3396
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    37172, 11800000 req, miss ratio 0.2854, byte miss ratio 0.2854
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   123908, 11800000 req, miss ratio 0.1595, byte miss ratio 0.1595
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   247817, 11800000 req, miss ratio 0.1360, byte miss ratio 0.1360
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   495634, 11800000 req, miss ratio 0.1179, byte miss ratio 0.1179
result/io_traces.ns395.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   991268, 11800000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1239, 11800000 req, miss ratio 0.5238, byte miss ratio 0.5238
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3717, 11800000 req, miss ratio 0.4452, byte miss ratio 0.4452
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    12390, 11800000 req, miss ratio 0.3184, byte miss ratio 0.3184
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    37172, 11800000 req, miss ratio 0.2466, byte miss ratio 0.2466
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   123908, 11800000 req, miss ratio 0.1606, byte miss ratio 0.1606
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   247817, 11800000 req, miss ratio 0.1342, byte miss ratio 0.1342
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   495634, 11800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns395.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   991268, 11800000 req, miss ratio 0.1053, byte miss ratio 0.1053
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1239, 11800000 req, miss ratio 0.8453, byte miss ratio 0.8453
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3717, 11800000 req, miss ratio 0.7189, byte miss ratio 0.7189
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    12390, 11800000 req, miss ratio 0.6912, byte miss ratio 0.6912
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    37172, 11800000 req, miss ratio 0.5436, byte miss ratio 0.5436
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   123908, 11800000 req, miss ratio 0.3103, byte miss ratio 0.3103
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   247817, 11800000 req, miss ratio 0.2373, byte miss ratio 0.2373
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   495634, 11800000 req, miss ratio 0.1745, byte miss ratio 0.1745
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   991268, 11800000 req, miss ratio 0.1052, byte miss ratio 0.1052
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1239, 11800000 req, miss ratio 0.5134, byte miss ratio 0.5134
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3717, 11800000 req, miss ratio 0.4540, byte miss ratio 0.4540
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    12390, 11800000 req, miss ratio 0.3364, byte miss ratio 0.3364
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    37172, 11800000 req, miss ratio 0.2826, byte miss ratio 0.2826
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   123908, 11800000 req, miss ratio 0.1729, byte miss ratio 0.1729
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   247817, 11800000 req, miss ratio 0.1643, byte miss ratio 0.1643
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   495634, 11800000 req, miss ratio 0.1476, byte miss ratio 0.1476
result/io_traces.ns395.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   991268, 11800000 req, miss ratio 0.1430, byte miss ratio 0.1430
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size     1239, 11800000 req, miss ratio 0.8915, byte miss ratio 0.8915
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size     6195, 11800000 req, miss ratio 0.8684, byte miss ratio 0.8684
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    12390, 11800000 req, miss ratio 0.8635, byte miss ratio 0.8635
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    24781, 11800000 req, miss ratio 0.8497, byte miss ratio 0.8497
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    61954, 11800000 req, miss ratio 0.7998, byte miss ratio 0.7998
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   123908, 11800000 req, miss ratio 0.7333, byte miss ratio 0.7333
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   247817, 11800000 req, miss ratio 0.6181, byte miss ratio 0.6181
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   495634, 11800000 req, miss ratio 0.4328, byte miss ratio 0.4328
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1239, 11800000 req, miss ratio 0.8453, byte miss ratio 0.8453
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6195, 11800000 req, miss ratio 0.7071, byte miss ratio 0.7071
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    12390, 11800000 req, miss ratio 0.6912, byte miss ratio 0.6912
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    24781, 11800000 req, miss ratio 0.6346, byte miss ratio 0.6346
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    61954, 11800000 req, miss ratio 0.3972, byte miss ratio 0.3972
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   123908, 11800000 req, miss ratio 0.3103, byte miss ratio 0.3103
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   247817, 11800000 req, miss ratio 0.2373, byte miss ratio 0.2373
result/io_traces.ns395.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   495634, 11800000 req, miss ratio 0.1745, byte miss ratio 0.1745
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1239, 11800000 req, miss ratio 0.5530, byte miss ratio 0.5530
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6195, 11800000 req, miss ratio 0.4058, byte miss ratio 0.4058
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    12390, 11800000 req, miss ratio 0.3487, byte miss ratio 0.3487
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    24781, 11800000 req, miss ratio 0.2940, byte miss ratio 0.2940
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    61954, 11800000 req, miss ratio 0.2145, byte miss ratio 0.2145
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   123908, 11800000 req, miss ratio 0.1810, byte miss ratio 0.1810
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   247817, 11800000 req, miss ratio 0.1442, byte miss ratio 0.1442
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   495634, 11800000 req, miss ratio 0.1174, byte miss ratio 0.1174
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1239, 11800000 req, miss ratio 0.5124, byte miss ratio 0.5124
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     6195, 11800000 req, miss ratio 0.3700, byte miss ratio 0.3700
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    12390, 11800000 req, miss ratio 0.3293, byte miss ratio 0.3293
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    24781, 11800000 req, miss ratio 0.2991, byte miss ratio 0.2991
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    61954, 11800000 req, miss ratio 0.2038, byte miss ratio 0.2038
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   123908, 11800000 req, miss ratio 0.1613, byte miss ratio 0.1613
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   247817, 11800000 req, miss ratio 0.1319, byte miss ratio 0.1319
result/io_traces.ns395.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   495634, 11800000 req, miss ratio 0.1153, byte miss ratio 0.1153
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1239, 11800000 req, miss ratio 0.5530, byte miss ratio 0.5530
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     6195, 11800000 req, miss ratio 0.4058, byte miss ratio 0.4058
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    12390, 11800000 req, miss ratio 0.3487, byte miss ratio 0.3487
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    24781, 11800000 req, miss ratio 0.2940, byte miss ratio 0.2940
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    61954, 11800000 req, miss ratio 0.2145, byte miss ratio 0.2145
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   123908, 11800000 req, miss ratio 0.1810, byte miss ratio 0.1810
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   247817, 11800000 req, miss ratio 0.1442, byte miss ratio 0.1442
result/io_traces.ns395.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   495634, 11800000 req, miss ratio 0.1174, byte miss ratio 0.1174
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size     1239, 11800000 req, miss ratio 0.8915, byte miss ratio 0.8915
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size     6195, 11800000 req, miss ratio 0.8684, byte miss ratio 0.8684
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    12390, 11800000 req, miss ratio 0.8635, byte miss ratio 0.8635
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    24781, 11800000 req, miss ratio 0.8497, byte miss ratio 0.8497
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size    61954, 11800000 req, miss ratio 0.7998, byte miss ratio 0.7998
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   123908, 11800000 req, miss ratio 0.7333, byte miss ratio 0.7333
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   247817, 11800000 req, miss ratio 0.6181, byte miss ratio 0.6181
result/io_traces.ns395.oracleGeneral.bin                              LFU cache size   495634, 11800000 req, miss ratio 0.4328, byte miss ratio 0.4328
