result/msr_proj_4.oracleGeneral                             FIFO cache size   600505, 6465639 req, miss ratio 0.6767, byte miss ratio 0.6767
result/msr_proj_4.oracleGeneral                             FIFO cache size  1201010, 6465639 req, miss ratio 0.5820, byte miss ratio 0.5820
result/msr_proj_4.oracleGeneral                              LFU cache size     3002, 6465639 req, miss ratio 0.9906, byte miss ratio 0.9906
result/msr_proj_4.oracleGeneral                              LFU cache size    15012, 6465639 req, miss ratio 0.9753, byte miss ratio 0.9753
result/msr_proj_4.oracleGeneral                              LFU cache size    30025, 6465639 req, miss ratio 0.9674, byte miss ratio 0.9674
result/msr_proj_4.oracleGeneral                              LFU cache size    60050, 6465639 req, miss ratio 0.9340, byte miss ratio 0.9340
result/msr_proj_4.oracleGeneral                              LFU cache size   150126, 6465639 req, miss ratio 0.8623, byte miss ratio 0.8623
result/msr_proj_4.oracleGeneral                              LFU cache size   300252, 6465639 req, miss ratio 0.8463, byte miss ratio 0.8463
result/msr_proj_4.oracleGeneral                              LFU cache size   600505, 6465639 req, miss ratio 0.6573, byte miss ratio 0.6573
result/msr_proj_4.oracleGeneral                              LFU cache size  1201010, 6465639 req, miss ratio 0.4721, byte miss ratio 0.4721
result/msr_proj_4.oracleGeneral                              LRU cache size     3002, 6465639 req, miss ratio 0.9906, byte miss ratio 0.9906
result/msr_proj_4.oracleGeneral                              LRU cache size    15012, 6465639 req, miss ratio 0.9823, byte miss ratio 0.9823
result/msr_proj_4.oracleGeneral                              LRU cache size    30025, 6465639 req, miss ratio 0.9774, byte miss ratio 0.9774
result/msr_proj_4.oracleGeneral                              LRU cache size    60050, 6465639 req, miss ratio 0.9338, byte miss ratio 0.9338
result/msr_proj_4.oracleGeneral                              LRU cache size   150126, 6465639 req, miss ratio 0.9151, byte miss ratio 0.9151
result/msr_proj_4.oracleGeneral                              LRU cache size   300252, 6465639 req, miss ratio 0.8140, byte miss ratio 0.8140
result/msr_proj_4.oracleGeneral                              LRU cache size   600505, 6465639 req, miss ratio 0.6561, byte miss ratio 0.6561
result/msr_proj_4.oracleGeneral                              LRU cache size  1201010, 6465639 req, miss ratio 0.4908, byte miss ratio 0.4908
result/msr_proj_4.oracleGeneral                  S5FIFO-0.1000-2 cache size     3002, 6465639 req, miss ratio 0.9892, byte miss ratio 0.9892
