result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8288, 12000000 req, miss ratio 0.6129, byte miss ratio 0.6129
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    24866, 12000000 req, miss ratio 0.5168, byte miss ratio 0.5168
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    82888, 12000000 req, miss ratio 0.4039, byte miss ratio 0.4039
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   165777, 12000000 req, miss ratio 0.3258, byte miss ratio 0.3258
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   331554, 12000000 req, miss ratio 0.2283, byte miss ratio 0.2283
result/io_traces.ns378.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   663108, 12000000 req, miss ratio 0.0692, byte miss ratio 0.0692
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      828, 12000000 req, miss ratio 0.4165, byte miss ratio 0.4165
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2486, 12000000 req, miss ratio 0.2552, byte miss ratio 0.2552
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8288, 12000000 req, miss ratio 0.2097, byte miss ratio 0.2097
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    24866, 12000000 req, miss ratio 0.1716, byte miss ratio 0.1716
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    82888, 12000000 req, miss ratio 0.0988, byte miss ratio 0.0988
result/io_traces.ns378.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   165777, 12000000 req, miss ratio 0.0948, byte miss ratio 0.0948
