result/w88.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      418, 4711053 req, miss ratio 0.4987, byte miss ratio 0.4987
result/w88.oracleGeneral.bin                             FIFO cache size    41802, 4711053 req, miss ratio 0.2556, byte miss ratio 0.2556
result/w88.oracleGeneral.bin                             FIFO cache size    83605, 4711053 req, miss ratio 0.2115, byte miss ratio 0.2115
result/w88.oracleGeneral.bin                             FIFO cache size   167210, 4711053 req, miss ratio 0.1463, byte miss ratio 0.1463
result/w88.oracleGeneral.bin                             FIFO cache size   334421, 4711053 req, miss ratio 0.1048, byte miss ratio 0.1048
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      418, 4711053 req, miss ratio 0.5050, byte miss ratio 0.5050
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1254, 4711053 req, miss ratio 0.4159, byte miss ratio 0.4159
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     4180, 4711053 req, miss ratio 0.3350, byte miss ratio 0.3350
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12540, 4711053 req, miss ratio 0.2780, byte miss ratio 0.2780
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    83605, 4711053 req, miss ratio 0.1759, byte miss ratio 0.1759
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   167210, 4711053 req, miss ratio 0.1225, byte miss ratio 0.1225
result/w88.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      418, 4711053 req, miss ratio 0.4991, byte miss ratio 0.4991
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1254, 4711053 req, miss ratio 0.4170, byte miss ratio 0.4170
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     4180, 4711053 req, miss ratio 0.3347, byte miss ratio 0.3347
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    12540, 4711053 req, miss ratio 0.2787, byte miss ratio 0.2787
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    83605, 4711053 req, miss ratio 0.1759, byte miss ratio 0.1759
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   167210, 4711053 req, miss ratio 0.1225, byte miss ratio 0.1225
result/w88.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      418, 4711053 req, miss ratio 0.5068, byte miss ratio 0.5068
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1254, 4711053 req, miss ratio 0.4214, byte miss ratio 0.4214
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4180, 4711053 req, miss ratio 0.3417, byte miss ratio 0.3417
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    12540, 4711053 req, miss ratio 0.2741, byte miss ratio 0.2741
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    41802, 4711053 req, miss ratio 0.2116, byte miss ratio 0.2116
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    83605, 4711053 req, miss ratio 0.1748, byte miss ratio 0.1748
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   167210, 4711053 req, miss ratio 0.1288, byte miss ratio 0.1288
result/w88.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   334421, 4711053 req, miss ratio 0.0942, byte miss ratio 0.0942
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      418, 4711053 req, miss ratio 0.4991, byte miss ratio 0.4991
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1254, 4711053 req, miss ratio 0.4171, byte miss ratio 0.4171
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     4180, 4711053 req, miss ratio 0.3347, byte miss ratio 0.3347
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    12540, 4711053 req, miss ratio 0.2789, byte miss ratio 0.2789
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    83605, 4711053 req, miss ratio 0.1760, byte miss ratio 0.1760
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   167210, 4711053 req, miss ratio 0.1225, byte miss ratio 0.1225
result/w88.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      418, 4711053 req, miss ratio 0.6164, byte miss ratio 0.6164
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1254, 4711053 req, miss ratio 0.5733, byte miss ratio 0.5733
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4180, 4711053 req, miss ratio 0.4978, byte miss ratio 0.4978
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    12540, 4711053 req, miss ratio 0.4073, byte miss ratio 0.4073
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    41802, 4711053 req, miss ratio 0.2630, byte miss ratio 0.2630
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    83605, 4711053 req, miss ratio 0.2002, byte miss ratio 0.2002
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   167210, 4711053 req, miss ratio 0.1335, byte miss ratio 0.1335
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   334421, 4711053 req, miss ratio 0.0908, byte miss ratio 0.0908
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      418, 4711053 req, miss ratio 0.4987, byte miss ratio 0.4987
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1254, 4711053 req, miss ratio 0.4160, byte miss ratio 0.4160
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     4180, 4711053 req, miss ratio 0.3348, byte miss ratio 0.3348
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    12540, 4711053 req, miss ratio 0.2772, byte miss ratio 0.2772
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    41802, 4711053 req, miss ratio 0.2094, byte miss ratio 0.2094
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    83605, 4711053 req, miss ratio 0.1877, byte miss ratio 0.1877
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   167210, 4711053 req, miss ratio 0.1515, byte miss ratio 0.1515
result/w88.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   334421, 4711053 req, miss ratio 0.1332, byte miss ratio 0.1332
result/w88.oracleGeneral.bin                              LFU cache size      418, 4711053 req, miss ratio 0.7066, byte miss ratio 0.7066
result/w88.oracleGeneral.bin                              LFU cache size     2090, 4711053 req, miss ratio 0.6649, byte miss ratio 0.6649
result/w88.oracleGeneral.bin                              LFU cache size     4180, 4711053 req, miss ratio 0.6319, byte miss ratio 0.6319
result/w88.oracleGeneral.bin                              LFU cache size     8360, 4711053 req, miss ratio 0.5906, byte miss ratio 0.5906
result/w88.oracleGeneral.bin                              LFU cache size    20901, 4711053 req, miss ratio 0.5253, byte miss ratio 0.5253
result/w88.oracleGeneral.bin                              LFU cache size    41802, 4711053 req, miss ratio 0.4230, byte miss ratio 0.4230
result/w88.oracleGeneral.bin                              LFU cache size    83605, 4711053 req, miss ratio 0.2535, byte miss ratio 0.2535
result/w88.oracleGeneral.bin                              LFU cache size   167210, 4711053 req, miss ratio 0.1549, byte miss ratio 0.1549
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      418, 4711053 req, miss ratio 0.6164, byte miss ratio 0.6164
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2090, 4711053 req, miss ratio 0.5439, byte miss ratio 0.5439
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4180, 4711053 req, miss ratio 0.4978, byte miss ratio 0.4978
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8360, 4711053 req, miss ratio 0.4390, byte miss ratio 0.4390
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    20901, 4711053 req, miss ratio 0.3460, byte miss ratio 0.3460
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    41802, 4711053 req, miss ratio 0.2630, byte miss ratio 0.2630
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    83605, 4711053 req, miss ratio 0.2002, byte miss ratio 0.2002
result/w88.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   167210, 4711053 req, miss ratio 0.1335, byte miss ratio 0.1335
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      418, 4711053 req, miss ratio 0.5316, byte miss ratio 0.5316
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2090, 4711053 req, miss ratio 0.4057, byte miss ratio 0.4057
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4180, 4711053 req, miss ratio 0.3590, byte miss ratio 0.3590
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8360, 4711053 req, miss ratio 0.3201, byte miss ratio 0.3201
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    20901, 4711053 req, miss ratio 0.2769, byte miss ratio 0.2769
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    41802, 4711053 req, miss ratio 0.2259, byte miss ratio 0.2259
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    83605, 4711053 req, miss ratio 0.1913, byte miss ratio 0.1913
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   167210, 4711053 req, miss ratio 0.1334, byte miss ratio 0.1334
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      418, 4711053 req, miss ratio 0.5017, byte miss ratio 0.5017
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     2090, 4711053 req, miss ratio 0.3827, byte miss ratio 0.3827
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4180, 4711053 req, miss ratio 0.3377, byte miss ratio 0.3377
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     8360, 4711053 req, miss ratio 0.3056, byte miss ratio 0.3056
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    20901, 4711053 req, miss ratio 0.2530, byte miss ratio 0.2530
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    41802, 4711053 req, miss ratio 0.2089, byte miss ratio 0.2089
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    83605, 4711053 req, miss ratio 0.1782, byte miss ratio 0.1782
result/w88.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   167210, 4711053 req, miss ratio 0.1239, byte miss ratio 0.1239
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      418, 4711053 req, miss ratio 0.5316, byte miss ratio 0.5316
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2090, 4711053 req, miss ratio 0.4057, byte miss ratio 0.4057
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4180, 4711053 req, miss ratio 0.3590, byte miss ratio 0.3590
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     8360, 4711053 req, miss ratio 0.3201, byte miss ratio 0.3201
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    20901, 4711053 req, miss ratio 0.2769, byte miss ratio 0.2769
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    41802, 4711053 req, miss ratio 0.2259, byte miss ratio 0.2259
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    83605, 4711053 req, miss ratio 0.1913, byte miss ratio 0.1913
result/w88.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   167210, 4711053 req, miss ratio 0.1334, byte miss ratio 0.1334
result/w88.oracleGeneral.bin                              LFU cache size      418, 4711053 req, miss ratio 0.7066, byte miss ratio 0.7066
result/w88.oracleGeneral.bin                              LFU cache size     2090, 4711053 req, miss ratio 0.6649, byte miss ratio 0.6649
result/w88.oracleGeneral.bin                              LFU cache size     4180, 4711053 req, miss ratio 0.6319, byte miss ratio 0.6319
result/w88.oracleGeneral.bin                              LFU cache size     8360, 4711053 req, miss ratio 0.5906, byte miss ratio 0.5906
result/w88.oracleGeneral.bin                              LFU cache size    20901, 4711053 req, miss ratio 0.5253, byte miss ratio 0.5253
result/w88.oracleGeneral.bin                              LFU cache size    41802, 4711053 req, miss ratio 0.4230, byte miss ratio 0.4230
result/w88.oracleGeneral.bin                              LFU cache size    83605, 4711053 req, miss ratio 0.2535, byte miss ratio 0.2535
result/w88.oracleGeneral.bin                              LFU cache size   167210, 4711053 req, miss ratio 0.1549, byte miss ratio 0.1549
