result/io_traces.ns355.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      362, 3200000 req, miss ratio 0.6675, byte miss ratio 0.6675
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      362, 3200000 req, miss ratio 0.6651, byte miss ratio 0.6651
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     1087, 3200000 req, miss ratio 0.6419, byte miss ratio 0.6419
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3624, 3200000 req, miss ratio 0.5951, byte miss ratio 0.5951
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    10874, 3200000 req, miss ratio 0.5188, byte miss ratio 0.5188
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    36247, 3200000 req, miss ratio 0.3543, byte miss ratio 0.3543
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    72494, 3200000 req, miss ratio 0.2617, byte miss ratio 0.2617
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   144988, 3200000 req, miss ratio 0.1704, byte miss ratio 0.1704
result/io_traces.ns355.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   289976, 3200000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      362, 3200000 req, miss ratio 0.6667, byte miss ratio 0.6667
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     1087, 3200000 req, miss ratio 0.6426, byte miss ratio 0.6426
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     3624, 3200000 req, miss ratio 0.5950, byte miss ratio 0.5950
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    10874, 3200000 req, miss ratio 0.5184, byte miss ratio 0.5184
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    36247, 3200000 req, miss ratio 0.3513, byte miss ratio 0.3513
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    72494, 3200000 req, miss ratio 0.2627, byte miss ratio 0.2627
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   144988, 3200000 req, miss ratio 0.1700, byte miss ratio 0.1700
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   289976, 3200000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      362, 3200000 req, miss ratio 0.6702, byte miss ratio 0.6702
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1087, 3200000 req, miss ratio 0.6469, byte miss ratio 0.6469
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     3624, 3200000 req, miss ratio 0.5958, byte miss ratio 0.5958
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    10874, 3200000 req, miss ratio 0.5130, byte miss ratio 0.5130
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    36247, 3200000 req, miss ratio 0.3684, byte miss ratio 0.3684
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    72494, 3200000 req, miss ratio 0.2647, byte miss ratio 0.2647
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   144988, 3200000 req, miss ratio 0.1713, byte miss ratio 0.1713
result/io_traces.ns355.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   289976, 3200000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      362, 3200000 req, miss ratio 0.6669, byte miss ratio 0.6669
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1087, 3200000 req, miss ratio 0.6427, byte miss ratio 0.6427
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3624, 3200000 req, miss ratio 0.5950, byte miss ratio 0.5950
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    10874, 3200000 req, miss ratio 0.5184, byte miss ratio 0.5184
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    36247, 3200000 req, miss ratio 0.3512, byte miss ratio 0.3512
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    72494, 3200000 req, miss ratio 0.2627, byte miss ratio 0.2627
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   144988, 3200000 req, miss ratio 0.1699, byte miss ratio 0.1699
result/io_traces.ns355.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   289976, 3200000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      362, 3200000 req, miss ratio 0.7114, byte miss ratio 0.7114
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1087, 3200000 req, miss ratio 0.6949, byte miss ratio 0.6949
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3624, 3200000 req, miss ratio 0.6569, byte miss ratio 0.6569
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    10874, 3200000 req, miss ratio 0.5809, byte miss ratio 0.5809
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    36247, 3200000 req, miss ratio 0.4140, byte miss ratio 0.4140
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    72494, 3200000 req, miss ratio 0.3001, byte miss ratio 0.3001
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   144988, 3200000 req, miss ratio 0.1793, byte miss ratio 0.1793
result/io_traces.ns355.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   289976, 3200000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      362, 3200000 req, miss ratio 0.6675, byte miss ratio 0.6675
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1087, 3200000 req, miss ratio 0.6425, byte miss ratio 0.6425
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3624, 3200000 req, miss ratio 0.5942, byte miss ratio 0.5942
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    10874, 3200000 req, miss ratio 0.5186, byte miss ratio 0.5186
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    36247, 3200000 req, miss ratio 0.3579, byte miss ratio 0.3579
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    72494, 3200000 req, miss ratio 0.2797, byte miss ratio 0.2797
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   144988, 3200000 req, miss ratio 0.2051, byte miss ratio 0.2051
result/io_traces.ns355.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   289976, 3200000 req, miss ratio 0.1750, byte miss ratio 0.1750
