result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     9773, 7795815 req, miss ratio 0.5564, byte miss ratio 0.5564
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    24433, 7795815 req, miss ratio 0.5113, byte miss ratio 0.5113
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    48866, 7795815 req, miss ratio 0.3315, byte miss ratio 0.3315
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    97733, 7795815 req, miss ratio 0.2367, byte miss ratio 0.2367
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   195466, 7795815 req, miss ratio 0.0883, byte miss ratio 0.0883
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      488, 7795815 req, miss ratio 0.6703, byte miss ratio 0.6703
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     2443, 7795815 req, miss ratio 0.5461, byte miss ratio 0.5461
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     4886, 7795815 req, miss ratio 0.5347, byte miss ratio 0.5347
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     9773, 7795815 req, miss ratio 0.5260, byte miss ratio 0.5260
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    24433, 7795815 req, miss ratio 0.5042, byte miss ratio 0.5042
result/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    48866, 7795815 req, miss ratio 0.2550, byte miss ratio 0.2550
