result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    35617, 2329554 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    71235, 2329554 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   142471, 2329554 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      356, 2329554 req, miss ratio 0.5314, byte miss ratio 0.5314
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1780, 2329554 req, miss ratio 0.5184, byte miss ratio 0.5184
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     3561, 2329554 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     7123, 2329554 req, miss ratio 0.5154, byte miss ratio 0.5154
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    17808, 2329554 req, miss ratio 0.4857, byte miss ratio 0.4857
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    35617, 2329554 req, miss ratio 0.4488, byte miss ratio 0.4488
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    71235, 2329554 req, miss ratio 0.3950, byte miss ratio 0.3950
result/tencentBlock.ns2561.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   142471, 2329554 req, miss ratio 0.2515, byte miss ratio 0.2515
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      356, 2329554 req, miss ratio 0.5517, byte miss ratio 0.5517
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1780, 2329554 req, miss ratio 0.5228, byte miss ratio 0.5228
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     3561, 2329554 req, miss ratio 0.5188, byte miss ratio 0.5188
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     7123, 2329554 req, miss ratio 0.5165, byte miss ratio 0.5165
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    17808, 2329554 req, miss ratio 0.4976, byte miss ratio 0.4976
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    35617, 2329554 req, miss ratio 0.4639, byte miss ratio 0.4639
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    71235, 2329554 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns2561.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   142471, 2329554 req, miss ratio 0.2838, byte miss ratio 0.2838
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size      356, 2329554 req, miss ratio 0.8282, byte miss ratio 0.8282
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size     1780, 2329554 req, miss ratio 0.8184, byte miss ratio 0.8184
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size     3561, 2329554 req, miss ratio 0.8088, byte miss ratio 0.8088
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size     7123, 2329554 req, miss ratio 0.7891, byte miss ratio 0.7891
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size    17808, 2329554 req, miss ratio 0.7406, byte miss ratio 0.7406
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size    35617, 2329554 req, miss ratio 0.6593, byte miss ratio 0.6593
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size    71235, 2329554 req, miss ratio 0.5342, byte miss ratio 0.5342
result/tencentBlock.ns2561.oracleGeneral.bin                              LFU cache size   142471, 2329554 req, miss ratio 0.3478, byte miss ratio 0.3478
