result/io_traces.ns350.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       88, 3200000 req, miss ratio 0.6030, byte miss ratio 0.6030
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size       88, 3200000 req, miss ratio 0.6029, byte miss ratio 0.6029
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      266, 3200000 req, miss ratio 0.5881, byte miss ratio 0.5881
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      888, 3200000 req, miss ratio 0.5702, byte miss ratio 0.5702
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2666, 3200000 req, miss ratio 0.5476, byte miss ratio 0.5476
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     8888, 3200000 req, miss ratio 0.5205, byte miss ratio 0.5205
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    17776, 3200000 req, miss ratio 0.4734, byte miss ratio 0.4734
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    35553, 3200000 req, miss ratio 0.4317, byte miss ratio 0.4317
result/io_traces.ns350.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    71106, 3200000 req, miss ratio 0.0584, byte miss ratio 0.0584
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size       88, 3200000 req, miss ratio 0.6455, byte miss ratio 0.6455
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      266, 3200000 req, miss ratio 0.6287, byte miss ratio 0.6287
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      888, 3200000 req, miss ratio 0.5938, byte miss ratio 0.5938
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2666, 3200000 req, miss ratio 0.5577, byte miss ratio 0.5577
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     8888, 3200000 req, miss ratio 0.5232, byte miss ratio 0.5232
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    17776, 3200000 req, miss ratio 0.4796, byte miss ratio 0.4796
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    35553, 3200000 req, miss ratio 0.3388, byte miss ratio 0.3388
result/io_traces.ns350.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    71106, 3200000 req, miss ratio 0.0632, byte miss ratio 0.0632
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size       88, 3200000 req, miss ratio 0.6030, byte miss ratio 0.6030
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      266, 3200000 req, miss ratio 0.5886, byte miss ratio 0.5886
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      888, 3200000 req, miss ratio 0.5689, byte miss ratio 0.5689
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2666, 3200000 req, miss ratio 0.5551, byte miss ratio 0.5551
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     8888, 3200000 req, miss ratio 0.5390, byte miss ratio 0.5390
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    17776, 3200000 req, miss ratio 0.4832, byte miss ratio 0.4832
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    35553, 3200000 req, miss ratio 0.4266, byte miss ratio 0.4266
result/io_traces.ns350.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    71106, 3200000 req, miss ratio 0.0728, byte miss ratio 0.0728
