result/w86.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     4305, 4749563 req, miss ratio 0.9612, byte miss ratio 0.9612
result/w86.oracleGeneral.bin                              LRU cache size   129167, 4749563 req, miss ratio 0.9482, byte miss ratio 0.9482
result/w86.oracleGeneral.bin                              LRU cache size   430557, 4749563 req, miss ratio 0.9323, byte miss ratio 0.9323
result/w86.oracleGeneral.bin                              LRU cache size   861115, 4749563 req, miss ratio 0.9262, byte miss ratio 0.9262
result/w86.oracleGeneral.bin                              LRU cache size  1722230, 4749563 req, miss ratio 0.9230, byte miss ratio 0.9230
result/w86.oracleGeneral.bin                              LRU cache size  3444460, 4749563 req, miss ratio 0.9185, byte miss ratio 0.9185
result/w86.oracleGeneral.bin                             FIFO cache size     4305, 4749563 req, miss ratio 0.9628, byte miss ratio 0.9628
result/w86.oracleGeneral.bin                             FIFO cache size    12916, 4749563 req, miss ratio 0.9586, byte miss ratio 0.9586
result/w86.oracleGeneral.bin                             FIFO cache size    43055, 4749563 req, miss ratio 0.9558, byte miss ratio 0.9558
result/w86.oracleGeneral.bin                             FIFO cache size   129167, 4749563 req, miss ratio 0.9488, byte miss ratio 0.9488
result/w86.oracleGeneral.bin                             FIFO cache size   430557, 4749563 req, miss ratio 0.9330, byte miss ratio 0.9330
result/w86.oracleGeneral.bin                             FIFO cache size   861115, 4749563 req, miss ratio 0.9279, byte miss ratio 0.9279
result/w86.oracleGeneral.bin                             FIFO cache size  1722230, 4749563 req, miss ratio 0.9242, byte miss ratio 0.9242
result/w86.oracleGeneral.bin                             FIFO cache size  3444460, 4749563 req, miss ratio 0.9199, byte miss ratio 0.9199
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     4305, 4749563 req, miss ratio 0.9605, byte miss ratio 0.9605
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    12916, 4749563 req, miss ratio 0.9548, byte miss ratio 0.9548
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    43055, 4749563 req, miss ratio 0.9477, byte miss ratio 0.9477
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   129167, 4749563 req, miss ratio 0.9312, byte miss ratio 0.9312
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   430557, 4749563 req, miss ratio 0.9215, byte miss ratio 0.9215
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   861115, 4749563 req, miss ratio 0.9175, byte miss ratio 0.9175
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  1722230, 4749563 req, miss ratio 0.9153, byte miss ratio 0.9153
result/w86.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  3444460, 4749563 req, miss ratio 0.9127, byte miss ratio 0.9127
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     4305, 4749563 req, miss ratio 0.9608, byte miss ratio 0.9608
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    12916, 4749563 req, miss ratio 0.9549, byte miss ratio 0.9549
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    43055, 4749563 req, miss ratio 0.9477, byte miss ratio 0.9477
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   129167, 4749563 req, miss ratio 0.9312, byte miss ratio 0.9312
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   430557, 4749563 req, miss ratio 0.9215, byte miss ratio 0.9215
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   861115, 4749563 req, miss ratio 0.9175, byte miss ratio 0.9175
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1722230, 4749563 req, miss ratio 0.9153, byte miss ratio 0.9153
result/w86.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  3444460, 4749563 req, miss ratio 0.9127, byte miss ratio 0.9127
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     4305, 4749563 req, miss ratio 0.9620, byte miss ratio 0.9620
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    12916, 4749563 req, miss ratio 0.9558, byte miss ratio 0.9558
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    43055, 4749563 req, miss ratio 0.9520, byte miss ratio 0.9520
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   129167, 4749563 req, miss ratio 0.9373, byte miss ratio 0.9373
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   430557, 4749563 req, miss ratio 0.9264, byte miss ratio 0.9264
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   861115, 4749563 req, miss ratio 0.9215, byte miss ratio 0.9215
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1722230, 4749563 req, miss ratio 0.9186, byte miss ratio 0.9186
result/w86.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  3444460, 4749563 req, miss ratio 0.9151, byte miss ratio 0.9151
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     4305, 4749563 req, miss ratio 0.9609, byte miss ratio 0.9609
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    12916, 4749563 req, miss ratio 0.9549, byte miss ratio 0.9549
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    43055, 4749563 req, miss ratio 0.9477, byte miss ratio 0.9477
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   129167, 4749563 req, miss ratio 0.9312, byte miss ratio 0.9312
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   430557, 4749563 req, miss ratio 0.9215, byte miss ratio 0.9215
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   861115, 4749563 req, miss ratio 0.9175, byte miss ratio 0.9175
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1722230, 4749563 req, miss ratio 0.9153, byte miss ratio 0.9153
result/w86.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  3444460, 4749563 req, miss ratio 0.9127, byte miss ratio 0.9127
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4305, 4749563 req, miss ratio 0.9675, byte miss ratio 0.9675
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    12916, 4749563 req, miss ratio 0.9558, byte miss ratio 0.9558
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    43055, 4749563 req, miss ratio 0.9476, byte miss ratio 0.9476
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   129167, 4749563 req, miss ratio 0.9312, byte miss ratio 0.9312
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   430557, 4749563 req, miss ratio 0.9215, byte miss ratio 0.9215
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   861115, 4749563 req, miss ratio 0.9175, byte miss ratio 0.9175
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1722230, 4749563 req, miss ratio 0.9153, byte miss ratio 0.9153
result/w86.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  3444460, 4749563 req, miss ratio 0.9127, byte miss ratio 0.9127
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     4305, 4749563 req, miss ratio 0.9619, byte miss ratio 0.9619
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    12916, 4749563 req, miss ratio 0.9567, byte miss ratio 0.9567
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    43055, 4749563 req, miss ratio 0.9490, byte miss ratio 0.9490
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   129167, 4749563 req, miss ratio 0.9450, byte miss ratio 0.9450
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   430557, 4749563 req, miss ratio 0.9280, byte miss ratio 0.9280
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   861115, 4749563 req, miss ratio 0.9332, byte miss ratio 0.9332
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1722230, 4749563 req, miss ratio 0.9273, byte miss ratio 0.9273
result/w86.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  3444460, 4749563 req, miss ratio 0.9213, byte miss ratio 0.9213
