result/io_traces.ns399.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     1667, 22400000 req, miss ratio 0.2464, byte miss ratio 0.2464
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    16675, 22400000 req, miss ratio 0.1646, byte miss ratio 0.1646
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    50025, 22400000 req, miss ratio 0.1231, byte miss ratio 0.1231
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   166750, 22400000 req, miss ratio 0.0813, byte miss ratio 0.0813
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   333501, 22400000 req, miss ratio 0.0786, byte miss ratio 0.0786
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   667003, 22400000 req, miss ratio 0.0768, byte miss ratio 0.0768
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1334007, 22400000 req, miss ratio 0.0745, byte miss ratio 0.0745
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     1667, 22400000 req, miss ratio 0.2469, byte miss ratio 0.2469
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     5002, 22400000 req, miss ratio 0.2232, byte miss ratio 0.2232
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    16675, 22400000 req, miss ratio 0.1727, byte miss ratio 0.1727
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    50025, 22400000 req, miss ratio 0.1390, byte miss ratio 0.1390
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   166750, 22400000 req, miss ratio 0.0838, byte miss ratio 0.0838
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   333501, 22400000 req, miss ratio 0.0797, byte miss ratio 0.0797
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   667003, 22400000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns399.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size  1334007, 22400000 req, miss ratio 0.0745, byte miss ratio 0.0745
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     1667, 22400000 req, miss ratio 0.2465, byte miss ratio 0.2465
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     5002, 22400000 req, miss ratio 0.2195, byte miss ratio 0.2195
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    16675, 22400000 req, miss ratio 0.1650, byte miss ratio 0.1650
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    50025, 22400000 req, miss ratio 0.1301, byte miss ratio 0.1301
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   166750, 22400000 req, miss ratio 0.0815, byte miss ratio 0.0815
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   333501, 22400000 req, miss ratio 0.0786, byte miss ratio 0.0786
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   667003, 22400000 req, miss ratio 0.0768, byte miss ratio 0.0768
result/io_traces.ns399.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1334007, 22400000 req, miss ratio 0.0745, byte miss ratio 0.0745
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1667, 22400000 req, miss ratio 0.7377, byte miss ratio 0.7377
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     5002, 22400000 req, miss ratio 0.6591, byte miss ratio 0.6591
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    16675, 22400000 req, miss ratio 0.5562, byte miss ratio 0.5562
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    50025, 22400000 req, miss ratio 0.4986, byte miss ratio 0.4986
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   166750, 22400000 req, miss ratio 0.3867, byte miss ratio 0.3867
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   333501, 22400000 req, miss ratio 0.3203, byte miss ratio 0.3203
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   667003, 22400000 req, miss ratio 0.2031, byte miss ratio 0.2031
result/io_traces.ns399.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1334007, 22400000 req, miss ratio 0.0745, byte miss ratio 0.0745
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1667, 22400000 req, miss ratio 0.2464, byte miss ratio 0.2464
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     5002, 22400000 req, miss ratio 0.2197, byte miss ratio 0.2197
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    16675, 22400000 req, miss ratio 0.1696, byte miss ratio 0.1696
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    50025, 22400000 req, miss ratio 0.1400, byte miss ratio 0.1400
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   166750, 22400000 req, miss ratio 0.0972, byte miss ratio 0.0972
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   333501, 22400000 req, miss ratio 0.0963, byte miss ratio 0.0963
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   667003, 22400000 req, miss ratio 0.0937, byte miss ratio 0.0937
result/io_traces.ns399.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1334007, 22400000 req, miss ratio 0.0895, byte miss ratio 0.0895
