result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     1877, 7726138 req, miss ratio 0.7414, byte miss ratio 0.7414
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     4693, 7726138 req, miss ratio 0.7279, byte miss ratio 0.7279
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size     9387, 7726138 req, miss ratio 0.7236, byte miss ratio 0.7236
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    18774, 7726138 req, miss ratio 0.4943, byte miss ratio 0.4943
result/fiu_webusers-030409-033109.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    37549, 7726138 req, miss ratio 0.2065, byte miss ratio 0.2065
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size       93, 7726138 req, miss ratio 0.8278, byte miss ratio 0.8278
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size      469, 7726138 req, miss ratio 0.7599, byte miss ratio 0.7599
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size      938, 7726138 req, miss ratio 0.7497, byte miss ratio 0.7497
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size     1877, 7726138 req, miss ratio 0.7429, byte miss ratio 0.7429
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size     4693, 7726138 req, miss ratio 0.7300, byte miss ratio 0.7300
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size     9387, 7726138 req, miss ratio 0.7236, byte miss ratio 0.7236
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size    18774, 7726138 req, miss ratio 0.5134, byte miss ratio 0.5134
result/fiu_webusers-030409-033109.oracleGeneral         S3LRUFIFOfifo-1-0.1000-2 cache size    37549, 7726138 req, miss ratio 0.2640, byte miss ratio 0.2640
