result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size    61702, 45746222 req, miss ratio 0.9490, byte miss ratio 0.9490
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   123405, 45746222 req, miss ratio 0.9283, byte miss ratio 0.9283
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   308514, 45746222 req, miss ratio 0.8937, byte miss ratio 0.8937
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size   617028, 45746222 req, miss ratio 0.8431, byte miss ratio 0.8431
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  1234057, 45746222 req, miss ratio 0.7253, byte miss ratio 0.7253
result/msr_src1_1.oracleGeneral              S3LRUlru-1-0.1000-2 cache size  2468114, 45746222 req, miss ratio 0.6851, byte miss ratio 0.6851
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     6170, 45746222 req, miss ratio 0.9810, byte miss ratio 0.9810
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    30851, 45746222 req, miss ratio 0.9571, byte miss ratio 0.9571
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    61702, 45746222 req, miss ratio 0.9466, byte miss ratio 0.9466
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   123405, 45746222 req, miss ratio 0.9301, byte miss ratio 0.9301
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   308514, 45746222 req, miss ratio 0.9038, byte miss ratio 0.9038
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   617028, 45746222 req, miss ratio 0.8819, byte miss ratio 0.8819
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  1234057, 45746222 req, miss ratio 0.6925, byte miss ratio 0.6925
result/msr_src1_1.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size  2468114, 45746222 req, miss ratio 0.5929, byte miss ratio 0.5929
