result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    12906, 21166982 req, miss ratio 0.9382, byte miss ratio 0.9382
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    64531, 21166982 req, miss ratio 0.9117, byte miss ratio 0.9117
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   129063, 21166982 req, miss ratio 0.8966, byte miss ratio 0.8966
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   258127, 21166982 req, miss ratio 0.8736, byte miss ratio 0.8736
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   645318, 21166982 req, miss ratio 0.7668, byte miss ratio 0.7668
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1290637, 21166982 req, miss ratio 0.7013, byte miss ratio 0.7013
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  2581274, 21166982 req, miss ratio 0.6648, byte miss ratio 0.6648
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  5162548, 21166982 req, miss ratio 0.6489, byte miss ratio 0.6489
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    12906, 21166982 req, miss ratio 0.9348, byte miss ratio 0.9348
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    64531, 21166982 req, miss ratio 0.9104, byte miss ratio 0.9104
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   129063, 21166982 req, miss ratio 0.8942, byte miss ratio 0.8942
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   258127, 21166982 req, miss ratio 0.8753, byte miss ratio 0.8753
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size   645318, 21166982 req, miss ratio 0.7550, byte miss ratio 0.7550
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  1290637, 21166982 req, miss ratio 0.6992, byte miss ratio 0.6992
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  2581274, 21166982 req, miss ratio 0.6705, byte miss ratio 0.6705
result/w31.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size  5162548, 21166982 req, miss ratio 0.6521, byte miss ratio 0.6521
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    12906, 21166982 req, miss ratio 0.9382, byte miss ratio 0.9382
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    64531, 21166982 req, miss ratio 0.9117, byte miss ratio 0.9117
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   129063, 21166982 req, miss ratio 0.8966, byte miss ratio 0.8966
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   258127, 21166982 req, miss ratio 0.8736, byte miss ratio 0.8736
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size   645318, 21166982 req, miss ratio 0.7668, byte miss ratio 0.7668
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  1290637, 21166982 req, miss ratio 0.7013, byte miss ratio 0.7013
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  2581274, 21166982 req, miss ratio 0.6648, byte miss ratio 0.6648
result/w31.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size  5162548, 21166982 req, miss ratio 0.6489, byte miss ratio 0.6489
