result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    46356, 23639742 req, miss ratio 0.9067, byte miss ratio 0.9067
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8783, byte miss ratio 0.8783
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   463560, 23639742 req, miss ratio 0.8242, byte miss ratio 0.8242
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1545200, 23639742 req, miss ratio 0.8006, byte miss ratio 0.8006
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  3090400, 23639742 req, miss ratio 0.7944, byte miss ratio 0.7944
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  6180800, 23639742 req, miss ratio 0.7761, byte miss ratio 0.7761
result/msr_proj_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size 12361600, 23639742 req, miss ratio 0.7745, byte miss ratio 0.7745
result/msr_proj_1.oracleGeneral                             FIFO cache size    15452, 23639742 req, miss ratio 0.9231, byte miss ratio 0.9231
result/msr_proj_1.oracleGeneral                             FIFO cache size    77260, 23639742 req, miss ratio 0.9037, byte miss ratio 0.9037
result/msr_proj_1.oracleGeneral                             FIFO cache size   154520, 23639742 req, miss ratio 0.8753, byte miss ratio 0.8753
result/msr_proj_1.oracleGeneral                             FIFO cache size   309040, 23639742 req, miss ratio 0.8477, byte miss ratio 0.8477
result/msr_proj_1.oracleGeneral                             FIFO cache size   772600, 23639742 req, miss ratio 0.7602, byte miss ratio 0.7602
result/msr_proj_1.oracleGeneral                             FIFO cache size  1545200, 23639742 req, miss ratio 0.7226, byte miss ratio 0.7226
result/msr_proj_1.oracleGeneral                             FIFO cache size  3090400, 23639742 req, miss ratio 0.7172, byte miss ratio 0.7172
result/msr_proj_1.oracleGeneral                             FIFO cache size  6180800, 23639742 req, miss ratio 0.6871, byte miss ratio 0.6871
result/msr_proj_1.oracleGeneral                              LFU cache size    15452, 23639742 req, miss ratio 0.9670, byte miss ratio 0.9670
result/msr_proj_1.oracleGeneral                              LFU cache size    77260, 23639742 req, miss ratio 0.9178, byte miss ratio 0.9178
result/msr_proj_1.oracleGeneral                              LFU cache size   154520, 23639742 req, miss ratio 0.8750, byte miss ratio 0.8750
result/msr_proj_1.oracleGeneral                              LFU cache size   309040, 23639742 req, miss ratio 0.8206, byte miss ratio 0.8206
result/msr_proj_1.oracleGeneral                              LFU cache size   772600, 23639742 req, miss ratio 0.7327, byte miss ratio 0.7327
result/msr_proj_1.oracleGeneral                              LFU cache size  1545200, 23639742 req, miss ratio 0.6794, byte miss ratio 0.6794
result/msr_proj_1.oracleGeneral                              LFU cache size  3090400, 23639742 req, miss ratio 0.6761, byte miss ratio 0.6761
result/msr_proj_1.oracleGeneral                              LFU cache size  6180800, 23639742 req, miss ratio 0.6639, byte miss ratio 0.6639
result/msr_proj_1.oracleGeneral                              LRU cache size    15452, 23639742 req, miss ratio 0.9216, byte miss ratio 0.9216
result/msr_proj_1.oracleGeneral                              LRU cache size    77260, 23639742 req, miss ratio 0.9031, byte miss ratio 0.9031
result/msr_proj_1.oracleGeneral                              LRU cache size   154520, 23639742 req, miss ratio 0.8759, byte miss ratio 0.8759
result/msr_proj_1.oracleGeneral                              LRU cache size   309040, 23639742 req, miss ratio 0.8454, byte miss ratio 0.8454
result/msr_proj_1.oracleGeneral                              LRU cache size   772600, 23639742 req, miss ratio 0.7503, byte miss ratio 0.7503
result/msr_proj_1.oracleGeneral                              LRU cache size  1545200, 23639742 req, miss ratio 0.7215, byte miss ratio 0.7215
result/msr_proj_1.oracleGeneral                              LRU cache size  3090400, 23639742 req, miss ratio 0.7057, byte miss ratio 0.7057
result/msr_proj_1.oracleGeneral                              LRU cache size  6180800, 23639742 req, miss ratio 0.6675, byte miss ratio 0.6675
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size    15452, 23639742 req, miss ratio 0.9372, byte miss ratio 0.9372
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size    77260, 23639742 req, miss ratio 0.8841, byte miss ratio 0.8841
result/msr_proj_1.oracleGeneral                  S5FIFO-0.1000-2 cache size   154520, 23639742 req, miss ratio 0.8603, byte miss ratio 0.8603
