result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    21735, 11233411 req, miss ratio 0.7145, byte miss ratio 0.7145
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    65207, 11233411 req, miss ratio 0.5450, byte miss ratio 0.5450
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   217357, 11233411 req, miss ratio 0.3700, byte miss ratio 0.3700
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   434715, 11233411 req, miss ratio 0.2396, byte miss ratio 0.2396
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
result/msr_prn_1.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2173, 11233411 req, miss ratio 0.8109, byte miss ratio 0.8109
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     6520, 11233411 req, miss ratio 0.7598, byte miss ratio 0.7598
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    21735, 11233411 req, miss ratio 0.6959, byte miss ratio 0.6959
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    65207, 11233411 req, miss ratio 0.5572, byte miss ratio 0.5572
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   217357, 11233411 req, miss ratio 0.3881, byte miss ratio 0.3881
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   434715, 11233411 req, miss ratio 0.2398, byte miss ratio 0.2398
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   869430, 11233411 req, miss ratio 0.2049, byte miss ratio 0.2049
result/msr_prn_1.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size  1738860, 11233411 req, miss ratio 0.1994, byte miss ratio 0.1994
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2173, 11233411 req, miss ratio 0.8172, byte miss ratio 0.8172
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     6520, 11233411 req, miss ratio 0.7594, byte miss ratio 0.7594
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    21735, 11233411 req, miss ratio 0.6752, byte miss ratio 0.6752
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    65207, 11233411 req, miss ratio 0.5457, byte miss ratio 0.5457
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   217357, 11233411 req, miss ratio 0.4157, byte miss ratio 0.4157
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   434715, 11233411 req, miss ratio 0.3459, byte miss ratio 0.3459
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   869430, 11233411 req, miss ratio 0.3469, byte miss ratio 0.3469
result/msr_prn_1.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1738860, 11233411 req, miss ratio 0.3513, byte miss ratio 0.3513
