result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    39638, 5175368 req, miss ratio 0.9818, byte miss ratio 0.9818
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   132127, 5175368 req, miss ratio 0.9785, byte miss ratio 0.9785
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   264254, 5175368 req, miss ratio 0.9918, byte miss ratio 0.9918
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   528508, 5175368 req, miss ratio 0.6106, byte miss ratio 0.6106
result/msr_web_2.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size  1057016, 5175368 req, miss ratio 0.4242, byte miss ratio 0.4242
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3963, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    39638, 5175368 req, miss ratio 0.9932, byte miss ratio 0.9932
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   132127, 5175368 req, miss ratio 0.9928, byte miss ratio 0.9928
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   264254, 5175368 req, miss ratio 0.9924, byte miss ratio 0.9924
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   528508, 5175368 req, miss ratio 0.6946, byte miss ratio 0.6946
result/msr_web_2.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size  1057016, 5175368 req, miss ratio 0.6535, byte miss ratio 0.6535
result/msr_web_2.oracleGeneral                             FIFO cache size     1321, 5175368 req, miss ratio 0.9964, byte miss ratio 0.9964
result/msr_web_2.oracleGeneral                             FIFO cache size     6606, 5175368 req, miss ratio 0.9963, byte miss ratio 0.9963
result/msr_web_2.oracleGeneral                             FIFO cache size    13212, 5175368 req, miss ratio 0.9962, byte miss ratio 0.9962
result/msr_web_2.oracleGeneral                             FIFO cache size    26425, 5175368 req, miss ratio 0.9962, byte miss ratio 0.9962
result/msr_web_2.oracleGeneral                             FIFO cache size    66063, 5175368 req, miss ratio 0.9938, byte miss ratio 0.9938
result/msr_web_2.oracleGeneral                             FIFO cache size   132127, 5175368 req, miss ratio 0.9929, byte miss ratio 0.9929
result/msr_web_2.oracleGeneral                             FIFO cache size   264254, 5175368 req, miss ratio 0.9924, byte miss ratio 0.9924
result/msr_web_2.oracleGeneral                             FIFO cache size   528508, 5175368 req, miss ratio 0.9217, byte miss ratio 0.9217
result/msr_web_2.oracleGeneral                              LFU cache size     1321, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral                              LFU cache size     6606, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral                              LFU cache size    13212, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
result/msr_web_2.oracleGeneral                              LFU cache size    26425, 5175368 req, miss ratio 0.9961, byte miss ratio 0.9961
