result/io_traces.ns364.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size       72, 3600000 req, miss ratio 0.3672, byte miss ratio 0.3672
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size    14556, 3600000 req, miss ratio 0.2041, byte miss ratio 0.2041
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size    29113, 3600000 req, miss ratio 0.0876, byte miss ratio 0.0876
result/io_traces.ns364.oracleGeneral.bin                              LRU cache size    58226, 3600000 req, miss ratio 0.0203, byte miss ratio 0.0203
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size       72, 3600000 req, miss ratio 0.3663, byte miss ratio 0.3663
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      218, 3600000 req, miss ratio 0.3115, byte miss ratio 0.3115
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size      727, 3600000 req, miss ratio 0.2979, byte miss ratio 0.2979
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     2183, 3600000 req, miss ratio 0.2784, byte miss ratio 0.2784
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     7278, 3600000 req, miss ratio 0.2483, byte miss ratio 0.2483
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    14556, 3600000 req, miss ratio 0.2014, byte miss ratio 0.2014
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    29113, 3600000 req, miss ratio 0.0921, byte miss ratio 0.0921
result/io_traces.ns364.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    58226, 3600000 req, miss ratio 0.0205, byte miss ratio 0.0205
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size       72, 3600000 req, miss ratio 0.3656, byte miss ratio 0.3656
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      218, 3600000 req, miss ratio 0.3157, byte miss ratio 0.3157
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      727, 3600000 req, miss ratio 0.2993, byte miss ratio 0.2993
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2183, 3600000 req, miss ratio 0.2788, byte miss ratio 0.2788
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     7278, 3600000 req, miss ratio 0.2482, byte miss ratio 0.2482
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    14556, 3600000 req, miss ratio 0.2070, byte miss ratio 0.2070
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    29113, 3600000 req, miss ratio 0.0886, byte miss ratio 0.0886
result/io_traces.ns364.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    58226, 3600000 req, miss ratio 0.0205, byte miss ratio 0.0205
