result/io_traces.ns397.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      201, 4400000 req, miss ratio 0.4682, byte miss ratio 0.4682
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    20196, 4400000 req, miss ratio 0.5915, byte miss ratio 0.5915
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    40393, 4400000 req, miss ratio 0.4740, byte miss ratio 0.4740
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    80786, 4400000 req, miss ratio 0.2806, byte miss ratio 0.2806
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      201, 4400000 req, miss ratio 0.7730, byte miss ratio 0.7730
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1009, 4400000 req, miss ratio 0.6677, byte miss ratio 0.6677
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2019, 4400000 req, miss ratio 0.5937, byte miss ratio 0.5937
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4039, 4400000 req, miss ratio 0.5524, byte miss ratio 0.5524
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    10098, 4400000 req, miss ratio 0.5102, byte miss ratio 0.5102
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    20196, 4400000 req, miss ratio 0.4352, byte miss ratio 0.4352
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    40393, 4400000 req, miss ratio 0.3084, byte miss ratio 0.3084
result/io_traces.ns397.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    80786, 4400000 req, miss ratio 0.1295, byte miss ratio 0.1295
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      201, 4400000 req, miss ratio 0.5091, byte miss ratio 0.5091
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1009, 4400000 req, miss ratio 0.4337, byte miss ratio 0.4337
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2019, 4400000 req, miss ratio 0.4065, byte miss ratio 0.4065
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4039, 4400000 req, miss ratio 0.3860, byte miss ratio 0.3860
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    10098, 4400000 req, miss ratio 0.3538, byte miss ratio 0.3538
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    20196, 4400000 req, miss ratio 0.2820, byte miss ratio 0.2820
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    40393, 4400000 req, miss ratio 0.1755, byte miss ratio 0.1755
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    80786, 4400000 req, miss ratio 0.0768, byte miss ratio 0.0768
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      201, 4400000 req, miss ratio 0.4683, byte miss ratio 0.4683
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1009, 4400000 req, miss ratio 0.4127, byte miss ratio 0.4127
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     2019, 4400000 req, miss ratio 0.3857, byte miss ratio 0.3857
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4039, 4400000 req, miss ratio 0.3773, byte miss ratio 0.3773
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    10098, 4400000 req, miss ratio 0.3270, byte miss ratio 0.3270
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    20196, 4400000 req, miss ratio 0.2677, byte miss ratio 0.2677
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    40393, 4400000 req, miss ratio 0.1459, byte miss ratio 0.1459
result/io_traces.ns397.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    80786, 4400000 req, miss ratio 0.0600, byte miss ratio 0.0600
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      201, 4400000 req, miss ratio 0.5091, byte miss ratio 0.5091
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1009, 4400000 req, miss ratio 0.4337, byte miss ratio 0.4337
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2019, 4400000 req, miss ratio 0.4065, byte miss ratio 0.4065
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4039, 4400000 req, miss ratio 0.3860, byte miss ratio 0.3860
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    10098, 4400000 req, miss ratio 0.3538, byte miss ratio 0.3538
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    20196, 4400000 req, miss ratio 0.2820, byte miss ratio 0.2820
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    40393, 4400000 req, miss ratio 0.1755, byte miss ratio 0.1755
result/io_traces.ns397.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    80786, 4400000 req, miss ratio 0.0768, byte miss ratio 0.0768
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size      201, 4400000 req, miss ratio 0.8134, byte miss ratio 0.8134
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size     1009, 4400000 req, miss ratio 0.7557, byte miss ratio 0.7557
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size     2019, 4400000 req, miss ratio 0.7437, byte miss ratio 0.7437
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size     4039, 4400000 req, miss ratio 0.7113, byte miss ratio 0.7113
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    10098, 4400000 req, miss ratio 0.6721, byte miss ratio 0.6721
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    20196, 4400000 req, miss ratio 0.5915, byte miss ratio 0.5915
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    40393, 4400000 req, miss ratio 0.4740, byte miss ratio 0.4740
result/io_traces.ns397.oracleGeneral.bin                              LFU cache size    80786, 4400000 req, miss ratio 0.2806, byte miss ratio 0.2806
