result/io_traces.ns373.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      226, 9800000 req, miss ratio 0.1402, byte miss ratio 0.1402
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size      680, 9800000 req, miss ratio 0.1176, byte miss ratio 0.1176
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     2268, 9800000 req, miss ratio 0.0970, byte miss ratio 0.0970
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     6806, 9800000 req, miss ratio 0.0841, byte miss ratio 0.0841
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    22688, 9800000 req, miss ratio 0.0619, byte miss ratio 0.0619
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    45377, 9800000 req, miss ratio 0.0478, byte miss ratio 0.0478
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    90754, 9800000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   181509, 9800000 req, miss ratio 0.0251, byte miss ratio 0.0251
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      226, 9800000 req, miss ratio 0.1459, byte miss ratio 0.1459
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      680, 9800000 req, miss ratio 0.1192, byte miss ratio 0.1192
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     2268, 9800000 req, miss ratio 0.0978, byte miss ratio 0.0978
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     6806, 9800000 req, miss ratio 0.0852, byte miss ratio 0.0852
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    22688, 9800000 req, miss ratio 0.0621, byte miss ratio 0.0621
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    45377, 9800000 req, miss ratio 0.0484, byte miss ratio 0.0484
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    90754, 9800000 req, miss ratio 0.0379, byte miss ratio 0.0379
result/io_traces.ns373.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   181509, 9800000 req, miss ratio 0.0252, byte miss ratio 0.0252
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      226, 9800000 req, miss ratio 0.1396, byte miss ratio 0.1396
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      680, 9800000 req, miss ratio 0.1178, byte miss ratio 0.1178
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     2268, 9800000 req, miss ratio 0.0970, byte miss ratio 0.0970
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     6806, 9800000 req, miss ratio 0.0841, byte miss ratio 0.0841
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    22688, 9800000 req, miss ratio 0.0619, byte miss ratio 0.0619
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    45377, 9800000 req, miss ratio 0.0478, byte miss ratio 0.0478
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    90754, 9800000 req, miss ratio 0.0369, byte miss ratio 0.0369
result/io_traces.ns373.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   181509, 9800000 req, miss ratio 0.0251, byte miss ratio 0.0251
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      226, 9800000 req, miss ratio 0.1825, byte miss ratio 0.1825
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      680, 9800000 req, miss ratio 0.1691, byte miss ratio 0.1691
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2268, 9800000 req, miss ratio 0.1438, byte miss ratio 0.1438
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     6806, 9800000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    22688, 9800000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    45377, 9800000 req, miss ratio 0.0536, byte miss ratio 0.0536
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    90754, 9800000 req, miss ratio 0.0376, byte miss ratio 0.0376
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   181509, 9800000 req, miss ratio 0.0251, byte miss ratio 0.0251
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      226, 9800000 req, miss ratio 0.1402, byte miss ratio 0.1402
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      680, 9800000 req, miss ratio 0.1184, byte miss ratio 0.1184
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     2268, 9800000 req, miss ratio 0.0973, byte miss ratio 0.0973
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     6806, 9800000 req, miss ratio 0.0854, byte miss ratio 0.0854
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    22688, 9800000 req, miss ratio 0.0651, byte miss ratio 0.0651
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    45377, 9800000 req, miss ratio 0.0535, byte miss ratio 0.0535
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    90754, 9800000 req, miss ratio 0.0453, byte miss ratio 0.0453
result/io_traces.ns373.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   181509, 9800000 req, miss ratio 0.0372, byte miss ratio 0.0372
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size      226, 9800000 req, miss ratio 0.2173, byte miss ratio 0.2173
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     1134, 9800000 req, miss ratio 0.1783, byte miss ratio 0.1783
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     2268, 9800000 req, miss ratio 0.1646, byte miss ratio 0.1646
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     4537, 9800000 req, miss ratio 0.1487, byte miss ratio 0.1487
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    11344, 9800000 req, miss ratio 0.1158, byte miss ratio 0.1158
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    22688, 9800000 req, miss ratio 0.0918, byte miss ratio 0.0918
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    45377, 9800000 req, miss ratio 0.0582, byte miss ratio 0.0582
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    90754, 9800000 req, miss ratio 0.0379, byte miss ratio 0.0379
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      226, 9800000 req, miss ratio 0.1825, byte miss ratio 0.1825
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     1134, 9800000 req, miss ratio 0.1575, byte miss ratio 0.1575
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     2268, 9800000 req, miss ratio 0.1438, byte miss ratio 0.1438
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     4537, 9800000 req, miss ratio 0.1253, byte miss ratio 0.1253
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    11344, 9800000 req, miss ratio 0.1009, byte miss ratio 0.1009
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    22688, 9800000 req, miss ratio 0.0785, byte miss ratio 0.0785
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    45377, 9800000 req, miss ratio 0.0536, byte miss ratio 0.0536
result/io_traces.ns373.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    90754, 9800000 req, miss ratio 0.0376, byte miss ratio 0.0376
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      226, 9800000 req, miss ratio 0.1524, byte miss ratio 0.1524
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1134, 9800000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2268, 9800000 req, miss ratio 0.1008, byte miss ratio 0.1008
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4537, 9800000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    11344, 9800000 req, miss ratio 0.0804, byte miss ratio 0.0804
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    22688, 9800000 req, miss ratio 0.0683, byte miss ratio 0.0683
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    45377, 9800000 req, miss ratio 0.0560, byte miss ratio 0.0560
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    90754, 9800000 req, miss ratio 0.0410, byte miss ratio 0.0410
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size      226, 9800000 req, miss ratio 0.1391, byte miss ratio 0.1391
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     1134, 9800000 req, miss ratio 0.1064, byte miss ratio 0.1064
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     2268, 9800000 req, miss ratio 0.0950, byte miss ratio 0.0950
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size     4537, 9800000 req, miss ratio 0.0868, byte miss ratio 0.0868
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    11344, 9800000 req, miss ratio 0.0766, byte miss ratio 0.0766
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    22688, 9800000 req, miss ratio 0.0622, byte miss ratio 0.0622
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    45377, 9800000 req, miss ratio 0.0496, byte miss ratio 0.0496
result/io_traces.ns373.oracleGeneral.bin              S3LRUlru-1-0.1000-2 cache size    90754, 9800000 req, miss ratio 0.0381, byte miss ratio 0.0381
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size      226, 9800000 req, miss ratio 0.1524, byte miss ratio 0.1524
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     1134, 9800000 req, miss ratio 0.1113, byte miss ratio 0.1113
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     2268, 9800000 req, miss ratio 0.1008, byte miss ratio 0.1008
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size     4537, 9800000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    11344, 9800000 req, miss ratio 0.0804, byte miss ratio 0.0804
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    22688, 9800000 req, miss ratio 0.0683, byte miss ratio 0.0683
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    45377, 9800000 req, miss ratio 0.0560, byte miss ratio 0.0560
result/io_traces.ns373.oracleGeneral.bin        S3LFUFIFO-fifo-1-0.1000-1 cache size    90754, 9800000 req, miss ratio 0.0410, byte miss ratio 0.0410
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size      226, 9800000 req, miss ratio 0.2173, byte miss ratio 0.2173
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     1134, 9800000 req, miss ratio 0.1783, byte miss ratio 0.1783
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     2268, 9800000 req, miss ratio 0.1646, byte miss ratio 0.1646
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size     4537, 9800000 req, miss ratio 0.1487, byte miss ratio 0.1487
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    11344, 9800000 req, miss ratio 0.1158, byte miss ratio 0.1158
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    22688, 9800000 req, miss ratio 0.0918, byte miss ratio 0.0918
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    45377, 9800000 req, miss ratio 0.0582, byte miss ratio 0.0582
result/io_traces.ns373.oracleGeneral.bin                              LFU cache size    90754, 9800000 req, miss ratio 0.0379, byte miss ratio 0.0379
