result/io_traces.ns354.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size     3569, 24400000 req, miss ratio 0.3341, byte miss ratio 0.3341
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size   713994, 24400000 req, miss ratio 0.1665, byte miss ratio 0.1665
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size  1427989, 24400000 req, miss ratio 0.1557, byte miss ratio 0.1557
result/io_traces.ns354.oracleGeneral.bin                              LRU cache size  2855978, 24400000 req, miss ratio 0.1464, byte miss ratio 0.1464
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size     3569, 24400000 req, miss ratio 0.3300, byte miss ratio 0.3300
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    10709, 24400000 req, miss ratio 0.2927, byte miss ratio 0.2927
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size    35699, 24400000 req, miss ratio 0.2279, byte miss ratio 0.2279
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   107099, 24400000 req, miss ratio 0.1995, byte miss ratio 0.1995
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   356997, 24400000 req, miss ratio 0.1716, byte miss ratio 0.1716
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size   713994, 24400000 req, miss ratio 0.1633, byte miss ratio 0.1633
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  1427989, 24400000 req, miss ratio 0.1531, byte miss ratio 0.1531
result/io_traces.ns354.oracleGeneral.bin                 S3FIFOd-Clock2-1 cache size  2855978, 24400000 req, miss ratio 0.1464, byte miss ratio 0.1464
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size     3569, 24400000 req, miss ratio 0.3320, byte miss ratio 0.3320
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    10709, 24400000 req, miss ratio 0.2950, byte miss ratio 0.2950
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    35699, 24400000 req, miss ratio 0.2318, byte miss ratio 0.2318
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   107099, 24400000 req, miss ratio 0.2004, byte miss ratio 0.2004
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   356997, 24400000 req, miss ratio 0.1738, byte miss ratio 0.1738
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   713994, 24400000 req, miss ratio 0.1633, byte miss ratio 0.1633
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  1427989, 24400000 req, miss ratio 0.1531, byte miss ratio 0.1531
result/io_traces.ns354.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size  2855978, 24400000 req, miss ratio 0.1464, byte miss ratio 0.1464
