result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size    71138, 5585886 req, miss ratio 0.2140, byte miss ratio 0.2140
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   142277, 5585886 req, miss ratio 0.1762, byte miss ratio 0.1762
result/msr_prn_0.oracleGeneral                  S3FIFO-0.1000-2 cache size   284554, 5585886 req, miss ratio 0.1362, byte miss ratio 0.1362
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size      711, 5585886 req, miss ratio 0.5029, byte miss ratio 0.5029
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     3556, 5585886 req, miss ratio 0.4288, byte miss ratio 0.4288
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size     7113, 5585886 req, miss ratio 0.4020, byte miss ratio 0.4020
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    14227, 5585886 req, miss ratio 0.3786, byte miss ratio 0.3786
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    35569, 5585886 req, miss ratio 0.3426, byte miss ratio 0.3426
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size    71138, 5585886 req, miss ratio 0.2929, byte miss ratio 0.2929
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   142277, 5585886 req, miss ratio 0.2370, byte miss ratio 0.2370
result/msr_prn_0.oracleGeneral             S3LFU-lfu-1-0.1000-1 cache size   284554, 5585886 req, miss ratio 0.1514, byte miss ratio 0.1514
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size      711, 5585886 req, miss ratio 0.3932, byte miss ratio 0.3932
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     3556, 5585886 req, miss ratio 0.3449, byte miss ratio 0.3449
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size     7113, 5585886 req, miss ratio 0.3293, byte miss ratio 0.3293
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    14227, 5585886 req, miss ratio 0.3112, byte miss ratio 0.3112
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    35569, 5585886 req, miss ratio 0.2637, byte miss ratio 0.2637
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size    71138, 5585886 req, miss ratio 0.2265, byte miss ratio 0.2265
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   142277, 5585886 req, miss ratio 0.1823, byte miss ratio 0.1823
result/msr_prn_0.oracleGeneral        S3LFUFIFO-fifo-1-0.1000-1 cache size   284554, 5585886 req, miss ratio 0.1483, byte miss ratio 0.1483
result/msr_prn_0.oracleGeneral              S3LRUlru-1-0.1000-2 cache size      711, 5585886 req, miss ratio 0.3818, byte miss ratio 0.3818
