result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     5813, 3787344 req, miss ratio 0.8570, byte miss ratio 0.8570
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    17440, 3787344 req, miss ratio 0.7828, byte miss ratio 0.7828
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    58136, 3787344 req, miss ratio 0.5908, byte miss ratio 0.5908
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   116272, 3787344 req, miss ratio 0.4149, byte miss ratio 0.4149
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   232545, 3787344 req, miss ratio 0.2409, byte miss ratio 0.2409
result/w96.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   465091, 3787344 req, miss ratio 0.1566, byte miss ratio 0.1566
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      581, 3787344 req, miss ratio 0.9038, byte miss ratio 0.9038
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     1744, 3787344 req, miss ratio 0.8627, byte miss ratio 0.8627
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     5813, 3787344 req, miss ratio 0.8043, byte miss ratio 0.8043
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    17440, 3787344 req, miss ratio 0.7093, byte miss ratio 0.7093
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    58136, 3787344 req, miss ratio 0.5203, byte miss ratio 0.5203
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   116272, 3787344 req, miss ratio 0.3772, byte miss ratio 0.3772
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   232545, 3787344 req, miss ratio 0.2880, byte miss ratio 0.2880
result/w96.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   465091, 3787344 req, miss ratio 0.2440, byte miss ratio 0.2440
