result/w67.oracleGeneral.bin                  S3FIFO-0.1000-2 cache size      325, 9028144 req, miss ratio 0.2685, byte miss ratio 0.2685
result/w67.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size    65073, 9028144 req, miss ratio 0.1067, byte miss ratio 0.1067
result/w67.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   130146, 9028144 req, miss ratio 0.0547, byte miss ratio 0.0547
result/w67.oracleGeneral.bin                S3FIFOd2-Clock2-1 cache size   260293, 9028144 req, miss ratio 0.0366, byte miss ratio 0.0366
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      325, 9028144 req, miss ratio 0.2705, byte miss ratio 0.2705
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size      976, 9028144 req, miss ratio 0.2268, byte miss ratio 0.2268
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     3253, 9028144 req, miss ratio 0.2155, byte miss ratio 0.2155
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size     9761, 9028144 req, miss ratio 0.1967, byte miss ratio 0.1967
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    32536, 9028144 req, miss ratio 0.1474, byte miss ratio 0.1474
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size    65073, 9028144 req, miss ratio 0.1007, byte miss ratio 0.1007
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   130146, 9028144 req, miss ratio 0.0533, byte miss ratio 0.0533
result/w67.oracleGeneral.bin                  S4FIFO-0.1000-2 cache size   260293, 9028144 req, miss ratio 0.0368, byte miss ratio 0.0368
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      325, 9028144 req, miss ratio 0.2817, byte miss ratio 0.2817
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size      976, 9028144 req, miss ratio 0.2287, byte miss ratio 0.2287
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     3253, 9028144 req, miss ratio 0.2126, byte miss ratio 0.2126
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size     9761, 9028144 req, miss ratio 0.2010, byte miss ratio 0.2010
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    32536, 9028144 req, miss ratio 0.1505, byte miss ratio 0.1505
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size    65073, 9028144 req, miss ratio 0.1067, byte miss ratio 0.1067
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   130146, 9028144 req, miss ratio 0.0548, byte miss ratio 0.0548
result/w67.oracleGeneral.bin                S3FIFOd3-Clock2-1 cache size   260293, 9028144 req, miss ratio 0.0366, byte miss ratio 0.0366
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      325, 9028144 req, miss ratio 0.4608, byte miss ratio 0.4608
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size      976, 9028144 req, miss ratio 0.3576, byte miss ratio 0.3576
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     3253, 9028144 req, miss ratio 0.3206, byte miss ratio 0.3206
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size     9761, 9028144 req, miss ratio 0.2679, byte miss ratio 0.2679
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    32536, 9028144 req, miss ratio 0.1969, byte miss ratio 0.1969
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size    65073, 9028144 req, miss ratio 0.1301, byte miss ratio 0.1301
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   130146, 9028144 req, miss ratio 0.0612, byte miss ratio 0.0612
result/w67.oracleGeneral.bin             S3LFU-lfu-1-0.1000-1 cache size   260293, 9028144 req, miss ratio 0.0366, byte miss ratio 0.0366
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      325, 9028144 req, miss ratio 0.2685, byte miss ratio 0.2685
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size      976, 9028144 req, miss ratio 0.2258, byte miss ratio 0.2258
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     3253, 9028144 req, miss ratio 0.2110, byte miss ratio 0.2110
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size     9761, 9028144 req, miss ratio 0.1899, byte miss ratio 0.1899
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    32536, 9028144 req, miss ratio 0.1507, byte miss ratio 0.1507
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size    65073, 9028144 req, miss ratio 0.1112, byte miss ratio 0.1112
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   130146, 9028144 req, miss ratio 0.0723, byte miss ratio 0.0723
result/w67.oracleGeneral.bin       S3FIFO_TIME_DELAY-0.1000-2 cache size   260293, 9028144 req, miss ratio 0.0694, byte miss ratio 0.0694
